5699.000,0.208
13276.000,0.199
25408.000,0.251
40675.000,0.233
55975.000,0.298
72284.000,0.346
90319.000,0.376
110748.000,0.384
138758.000,0.390
179215.000,0.410
217583.000,0.435
259145.000,0.447
312008.000,0.437
354120.000,0.436
402148.000,0.447
450039.000,0.471
502268.000,0.489
549810.000,0.493
593462.000,0.490
640429.000,0.478
712087.000,0.476
770685.000,0.478
828356.000,0.476
903321.000,0.478
970619.000,0.488
1041167.000,0.492
1116857.000,0.494
1195966.000,0.497
1268459.000,0.501
1347642.000,0.503
1412558.000,0.503
1462444.000,0.501
1529822.000,0.496
1588708.000,0.499
1660270.000,0.506
1715292.000,0.512
1765209.000,0.513
1822136.000,0.511
1873973.000,0.510
1919669.000,0.509
1973855.000,0.509
2042353.000,0.514
2098176.000,0.522
2154478.000,0.528
2220409.000,0.537
2280949.000,0.543
2334167.000,0.545
2387315.000,0.541
2448466.000,0.534
2495321.000,0.532
2540325.000,0.532
2601110.000,0.532
2655735.000,0.530
2700124.000,0.530
2739989.000,0.529
2787576.000,0.527
2835702.000,0.524
2885958.000,0.521
2930446.000,0.522
2975186.000,0.522
3019058.000,0.523
3056773.000,0.523
3099843.000,0.524
3152275.000,0.523
3200942.000,0.521
3251679.000,0.520
3301220.000,0.518
3340675.000,0.515
3381965.000,0.513
3429229.000,0.510
3471344.000,0.505
3521385.000,0.499
3570295.000,0.494
3603979.000,0.491
3639589.000,0.489
3678477.000,0.487
3713559.000,0.488
3760142.000,0.489
3807968.000,0.487
3856641.000,0.483
3901613.000,0.482
3942107.000,0.481
3982755.000,0.478
